FechaHora	Ubicacion	Valor
2021-01-18T11:30:00Z	Matera25l	NA
2021-01-18T11:30:00Z	Matera35l	NA
2021-01-18T15:30:00Z	Matera25l	16.9466
2021-01-18T15:30:00Z	Matera35l	NA
2021-01-18T16:00:00Z	Matera25l	16.94483333333333
2021-01-18T16:00:00Z	Matera35l	NA
2021-01-18T16:30:00Z	Matera25l	16.902
2021-01-18T16:30:00Z	Matera35l	NA
2021-01-18T17:00:00Z	Matera25l	16.766166666666667
2021-01-18T17:00:00Z	Matera35l	NA
2021-01-18T17:30:00Z	Matera25l	16.629666666666665
2021-01-18T17:30:00Z	Matera35l	NA
2021-01-18T18:00:00Z	Matera25l	16.394666666666666
2021-01-18T18:00:00Z	Matera35l	NA
2021-01-18T18:30:00Z	Matera25l	16.234833333333334
2021-01-18T18:30:00Z	Matera35l	NA
2021-01-18T19:00:00Z	Matera25l	16.167833333333334
2021-01-18T19:00:00Z	Matera35l	NA
2021-01-18T19:30:00Z	Matera25l	16.179333333333332
2021-01-18T19:30:00Z	Matera35l	NA
2021-01-18T20:00:00Z	Matera25l	16.189333333333334
2021-01-18T20:00:00Z	Matera35l	NA
2021-01-18T20:30:00Z	Matera25l	16.201
2021-01-18T20:30:00Z	Matera35l	NA
2021-01-18T21:00:00Z	Matera25l	16.2265
2021-01-18T21:00:00Z	Matera35l	NA
2021-01-18T21:30:00Z	Matera25l	16.237000000000002
2021-01-18T21:30:00Z	Matera35l	NA
2021-01-18T22:00:00Z	Matera25l	16.264
2021-01-18T22:00:00Z	Matera35l	NA
2021-01-18T22:30:00Z	Matera25l	16.261833333333332
2021-01-18T22:30:00Z	Matera35l	NA
2021-01-18T23:00:00Z	Matera25l	16.27616666666667
2021-01-18T23:00:00Z	Matera35l	NA
2021-01-18T23:30:00Z	Matera25l	16.27316666666667
2021-01-18T23:30:00Z	Matera35l	NA
2021-01-19T00:00:00Z	Matera25l	16.2715
2021-01-19T00:00:00Z	Matera35l	NA
2021-01-19T00:30:00Z	Matera25l	16.278166666666667
2021-01-19T00:30:00Z	Matera35l	NA
2021-01-19T01:00:00Z	Matera25l	16.302166666666665
2021-01-19T01:00:00Z	Matera35l	NA
2021-01-19T01:30:00Z	Matera25l	16.3375
2021-01-19T01:30:00Z	Matera35l	NA
2021-01-19T02:00:00Z	Matera25l	16.36
2021-01-19T02:00:00Z	Matera35l	NA
2021-01-19T02:30:00Z	Matera25l	16.363666666666667
2021-01-19T02:30:00Z	Matera35l	NA
