Semana,Dia,AM,PM,Ventas
17,20/4/20,13,2,674000
17,21/4/20,14,1,574300
17,22/4/20,8,3,380600
17,23/4/20,12,2,309600
17,24/4/20,11,5,776000
18,27/4/20,13,4,649200
18,28/4/20,10,2,398700
18,29/4/20,12,4,479800
18,30/4/20,15,5,1116200
19,43926.0,12,3,914300
19,43956.0,16,6,650600
19,43987.0,8,4,557700
19,44017.0,13,4,271100
19,44048.0,14,2,1165600
20,44140.0,9,9,348100
20,44170.0,13,2,947400
20,13/5/20,10,5,504300
20,14/5/20,13,5,373600
20,15/5/20,14,4,447200
21,18/5/20,18,9,1001600
21,19/5/20,14,2,614700
21,20/5/20,10,2,0
21,21/5/20,13,3,716500
21,22/5/20,8,8,675500
22,26/5/20,17,7,960300
22,27/5/20,10,4,259500
22,28/5/20,13,4,513400
22,29/5/20,7,6,747500
23,43836.0,16,11,1515100
23,43867.0,17,5,764300
23,43896.0,18,5,533500
23,43927.0,9,3,916000
23,43957.0,16,8,824500
24,44049.0,15,8,1215200
24,44080.0,16,6,735700
24,44110.0,22,8,770600
24,44141.0,20,6,653100
24,44171.0,17,5,1422300
25,16/6/20,22,6,953900
25,17/6/20,20,7,886700
25,18/6/20,16,9,704100
25,19/6/20,18,9,897500
26,23/6/20,28,10,1435600
26,24/6/20,13,11,782400
26,25/6/20,22,2,561400
26,26/6/20,13,3,1077700
27,30/6/20,20,10,825500
27,43837.0,13,7,1117400
27,43868.0,12,3,391700
27,43897.0,17,5,674800
28,43989.0,20,3,1261859
28,44019.0,14,5,630807
28,44050.0,20,6,1366341
28,44081.0,15,5,544123
28,44111.0,17,6,465741
29,13/7/20,19,6,1085417
29,14/7/20,15,3,368058
29,15/7/20,18,4,403331
29,16/7/20,19,10,1005817
29,17/7/20,14,5,1048357
30,21/7/20,20,6,972939
30,22/7/20,19,10,968802
30,23/7/20,20,9,1452195
30,24/7/20,22,5,567971
31,27/7/20,16,8,1140171
31,28/7/20,17,6,450132
31,29/7/20,14,6,620100
31,30/7/20,13,7,607004
31,31/7/20,13,8,1907650
32,43898.0,12,6,1255234
32,43929.0,22,4,1066007
32,43959.0,17,8,299533
32,43990.0,16,5,1253334
